bed_id,department,bed_type,status,admission_id
BED0279,Dermatology,Private,Available,
BED0280,Gynecology,General,Occupied,ADM07998
BED0281,Gynecology,General,Occupied,ADM01823
BED0282,Cardiology,General,Available,
BED0283,Cardiology,General,Occupied,ADM00532
BED0284,Pediatrics,General,Maintenance,
BED0285,Emergency,General,Occupied,ADM04575
BED0286,Pediatrics,General,Occupied,ADM05565
BED0287,Neurology,General,Available,
BED0288,Emergency,General,Available,
BED0289,Gynecology,Private,Occupied,ADM07310
BED0290,Dermatology,General,Occupied,ADM00627
BED0291,Oncology,Private,Available,
BED0292,Neurology,General,Occupied,ADM07809
BED0293,Oncology,General,Occupied,ADM03072
BED0294,Neurology,Private,Occupied,ADM03652
BED0295,Cardiology,Private,Occupied,
BED0296,Cardiology,ICU,Occupied,ADM05161
BED0297,Pediatrics,ICU,Available,
BED0298,Neurology,Semi-Private,Available,
BED0299,Oncology,General,Available,
BED0300,Pediatrics,General,Occupied,ADM04396
BED0301,Dermatology,General,Occupied,ADM04346
BED0302,Emergency,General,Occupied,ADM04099
BED0303,Emergency,General,Occupied,ADM07816
BED0304,Oncology,Private,Available,
BED0305,Emergency,General,Occupied,ADM06311
BED0306,Emergency,General,Occupied,ADM05910
BED0307,Pediatrics,General,Available,
BED0308,Pediatrics,General,Occupied,ADM00235
BED0309,Dermatology,General,Maintenance,
BED0310,ENT,General,Available,
BED0311,ENT,General,Occupied,ADM02750
BED0312,ENT,Private,Occupied,ADM02849
BED0313,General Medicine,Semi-Private,Available,
BED0314,Orthopedics,General,Occupied,ADM05745
BED0315,General Medicine,Semi-Private,Occupied,ADM06449
BED0316,Gynecology,General,Occupied,ADM07273
BED0317,Cardiology,General,Available,
BED0318,Gynecology,General,Occupied,ADM04937
BED0319,Orthopedics,General,Occupied,ADM02114
BED0320,Neurology,Private,Occupied,ADM01257
BED0321,Dermatology,General,Occupied,ADM04903
BED0322,Cardiology,General,Occupied,ADM06078
BED0323,Pediatrics,General,Occupied,ADM01803
BED0324,ENT,ICU,Occupied,ADM06249
BED0325,Oncology,Semi-Private,Occupied,ADM04335
BED0326,General Medicine,General,Available,
BED0327,Emergency,Private,Available,
BED0328,Pediatrics,General,Occupied,ADM02155
BED0329,Orthopedics,Semi-Private,Occupied,ADM00234
BED0330,Emergency,General,Occupied,ADM04467
BED0331,General Medicine,Private,Available,
BED0332,Cardiology,General,Occupied,ADM04364
BED0333,Emergency,General,Available,
BED0334,General Medicine,Private,Occupied,ADM00457
BED0335,Oncology,General,Occupied,ADM03632
BED0336,Neurology,Private,Available,
BED0337,Neurology,General,Occupied,ADM00479
BED0338,Emergency,General,Available,
BED0339,Dermatology,General,Available,
BED0340,Pediatrics,Private,Available,
BED0341,Neurology,General,Occupied,ADM02927
BED0342,Emergency,Private,Occupied,ADM05378
BED0343,ENT,General,Occupied,ADM02156
BED0344,Cardiology,ICU,Occupied,ADM06401
BED0345,Pediatrics,General,Occupied,ADM04741
BED0346,Gynecology,General,Occupied,ADM05475
BED0347,Dermatology,Semi-Private,Available,
BED0348,Neurology,General,Available,
BED0349,General Medicine,Semi-Private,Occupied,ADM03869
BED0350,Emergency,General,Occupied,ADM01349
BED0351,Cardiology,ICU,Occupied,ADM06141
BED0352,Dermatology,General,Occupied,ADM05865
BED0353,General Medicine,General,Available,
BED0354,Neurology,Private,Occupied,ADM05837
BED0355,Pediatrics,General,Occupied,ADM02926
BED0356,General Medicine,Private,Occupied,ADM04887
BED0357,Cardiology,Semi-Private,Occupied,ADM03458
BED0358,Neurology,Semi-Private,Available,
BED0359,Neurology,Private,Available,
BED0360,Pediatrics,General,Occupied,ADM00650
BED0361,General Medicine,General,Occupied,ADM05819
BED0362,General Medicine,Semi-Private,Maintenance,
BED0363,Neurology,Semi-Private,Occupied,ADM01455
BED0364,Neurology,General,Occupied,ADM06289
BED0365,ENT,Private,Occupied,ADM01673
BED0366,Emergency,Private,Available,
BED0367,Oncology,General,Occupied,ADM03138
BED0368,Emergency,General,Available,
BED0369,Pediatrics,Semi-Private,Occupied,ADM03313
BED0370,Gynecology,General,Occupied,ADM05970
BED0371,Orthopedics,General,Available,
BED0372,General Medicine,Private,Occupied,ADM00572
BED0373,Gynecology,General,Available,
BED0374,Pediatrics,Semi-Private,Occupied,ADM00781
BED0375,Pediatrics,General,Occupied,ADM06721
BED0376,Gynecology,Private,Occupied,ADM06493
BED0377,Oncology,Semi-Private,Occupied,ADM05486
BED0378,Orthopedics,General,Occupied,ADM07513
BED0379,Orthopedics,General,Occupied,ADM06942
BED0380,Neurology,Private,Occupied,ADM06647
BED0381,Gynecology,Private,Occupied,ADM05891
BED0382,Pediatrics,General,Occupied,ADM01538
BED0383,ENT,General,Occupied,ADM03352
BED0384,Cardiology,General,Occupied,ADM04019
BED0385,Emergency,Semi-Private,Occupied,ADM06047
BED0386,General Medicine,Private,Occupied,ADM02692
BED0387,Pediatrics,ICU,Occupied,ADM01199
BED0388,Neurology,General,Occupied,ADM05701
BED0389,Neurology,General,Available,
BED0390,Orthopedics,Semi-Private,Occupied,ADM06025
BED0391,Orthopedics,General,Occupied,ADM03852
BED0392,Neurology,ICU,Occupied,ADM00107
BED0393,Orthopedics,General,Available,
BED0394,Oncology,ICU,Occupied,ADM01287
BED0395,General Medicine,Private,Occupied,ADM06727
BED0396,General Medicine,Private,Occupied,ADM01594
BED0397,Pediatrics,ICU,Available,
BED0398,General Medicine,Private,Occupied,ADM04570
BED0399,Pediatrics,Semi-Private,Occupied,ADM07880
BED0400,Orthopedics,Semi-Private,Occupied,ADM03315
BED0401,General Medicine,General,Occupied,ADM07933
BED0402,Neurology,Private,Occupied,ADM03850
BED0403,Dermatology,General,Occupied,ADM03667
BED0404,Neurology,General,Occupied,ADM03935
BED0405,Gynecology,Semi-Private,Occupied,ADM02189
BED0406,Oncology,Private,Available,
BED0407,Emergency,Semi-Private,Occupied,ADM06195
BED0408,Emergency,General,Maintenance,
BED0409,Gynecology,General,Available,
BED0410,Pediatrics,General,Occupied,ADM00766
BED0411,Neurology,General,Occupied,ADM06761
BED0412,Pediatrics,General,Occupied,ADM03189
BED0413,Cardiology,General,Occupied,ADM07972
BED0414,General Medicine,Semi-Private,Occupied,ADM00022
BED0415,Orthopedics,General,Available,
BED0416,General Medicine,ICU,Occupied,ADM04031
BED0417,Dermatology,Private,Available,
BED0418,General Medicine,Private,Maintenance,
BED0419,General Medicine,Semi-Private,Maintenance,
BED0420,ENT,General,Available,
BED0421,Orthopedics,Private,Available,
BED0422,Oncology,General,Occupied,ADM04174
BED0423,Orthopedics,Semi-Private,Occupied,ADM01374
BED0424,Gynecology,General,Available,
BED0425,ENT,General,Occupied,ADM03628
BED0426,Emergency,Private,Available,
BED0427,Dermatology,General,Occupied,ADM07075
BED0428,Pediatrics,Semi-Private,Occupied,ADM03157
BED0429,Pediatrics,Semi-Private,Occupied,ADM00638
BED0430,Pediatrics,General,Occupied,ADM04467
BED0431,Dermatology,General,Occupied,ADM00611
BED0432,Gynecology,ICU,Occupied,ADM07704
BED0433,Pediatrics,General,Occupied,
BED0434,Emergency,Private,Available,
BED0435,ENT,Private,Occupied,ADM05653
BED0436,Oncology,General,Occupied,ADM06793
BED0437,Oncology,Semi-Private,Occupied,ADM05424
BED0438,General Medicine,Semi-Private,Occupied,ADM07021
BED0439,Pediatrics,ICU,Occupied,ADM03562
BED0440,Gynecology,Semi-Private,Occupied,ADM02821
BED0441,Emergency,Private,Occupied,ADM03770
BED0442,ENT,ICU,Occupied,ADM00133
BED0443,Gynecology,ICU,Occupied,ADM01610
BED0444,Orthopedics,General,Occupied,ADM04065
BED0445,Gynecology,General,Available,
BED0446,Neurology,Private,Occupied,ADM01728
BED0447,Gynecology,Private,Available,
BED0448,Orthopedics,General,Occupied,ADM07569
BED0449,Orthopedics,Private,Available,
BED0450,Oncology,Semi-Private,Occupied,ADM02929
BED0451,Dermatology,General,Occupied,ADM00905
BED0452,Cardiology,Semi-Private,Occupied,ADM07934
BED0453,General Medicine,Semi-Private,Occupied,ADM07423
BED0454,Emergency,General,Available,
BED0455,Dermatology,Semi-Private,Occupied,ADM00395
BED0456,Neurology,Private,Occupied,ADM06904
BED0457,Neurology,General,Occupied,ADM05873
BED0458,Gynecology,General,Occupied,ADM04501
BED0459,General Medicine,General,Occupied,ADM05372
BED0460,Neurology,General,Occupied,ADM05057
BED0461,Orthopedics,General,Occupied,ADM07781
BED0462,Pediatrics,General,Occupied,ADM01463
BED0463,Pediatrics,General,Maintenance,
BED0464,Neurology,ICU,Occupied,ADM04309
BED0465,Neurology,General,Occupied,ADM07818
BED0466,Oncology,General,Occupied,ADM06203
BED0467,Gynecology,Private,Occupied,
BED0468,Dermatology,General,Available,
BED0469,Gynecology,General,Occupied,ADM04254
BED0470,ENT,General,Occupied,ADM00138
BED0471,Emergency,General,Occupied,ADM01481
BED0472,Cardiology,Private,Available,
BED0473,Pediatrics,General,Occupied,ADM00030
BED0474,Pediatrics,General,Available,
BED0475,Oncology,General,Occupied,ADM04606
BED0476,Dermatology,General,Available,
BED0477,ENT,Semi-Private,Occupied,
BED0478,Orthopedics,Private,Available,
BED0479,ENT,General,Occupied,ADM02792
BED0480,General Medicine,General,Available,
BED0481,ENT,General,Occupied,ADM02309
BED0482,Gynecology,Private,Occupied,ADM07006
BED0483,Cardiology,General,Occupied,ADM04104
BED0484,Cardiology,General,Occupied,ADM03441
BED0485,Cardiology,Semi-Private,Available,
BED0486,Emergency,General,Occupied,ADM00210
BED0487,Dermatology,General,Occupied,ADM00045
BED0488,General Medicine,Private,Occupied,ADM04215
BED0489,ENT,General,Occupied,ADM07815
BED0490,Orthopedics,General,Occupied,ADM01421
BED0491,Emergency,Semi-Private,Maintenance,
BED0492,Cardiology,Private,Occupied,ADM01784
BED0493,Orthopedics,Private,Occupied,ADM05964
BED0494,Neurology,Semi-Private,Available,
BED0495,Orthopedics,Semi-Private,Occupied,ADM07290
BED0496,Oncology,Private,Occupied,ADM00907
BED0497,Gynecology,General,Occupied,ADM04538
BED0498,Orthopedics,ICU,Occupied,ADM00450
BED0499,Cardiology,General,Occupied,ADM06930
BED0500,General Medicine,Private,Occupied,ADM03187
